t # 1
v 0 0
v 1 1
v 2 1
v 3 1
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 3
v 13 2
v 14 3
v 15 2
v 16 2
v 17 2
v 18 0
v 19 2
v 20 2
v 21 2
v 22 2
v 23 1
v 24 1
v 25 1
v 26 2
v 27 2
v 28 2
v 29 3
v 30 0
v 31 2
v 32 3
v 33 1
v 34 1
v 35 1
v 36 2
v 37 2
v 38 2
v 39 2
v 40 2
v 41 2
v 42 2
v 43 2
v 44 0
v 45 1
v 46 1
v 47 1
e 0 1 1
e 0 2 1
e 0 3 0
e 0 4 0
e 4 5 3
e 4 6 3
e 5 7 0
e 5 8 3
e 6 9 3
e 7 10 1
e 8 11 3
e 9 12 0
e 9 11 3
e 10 13 0
e 12 14 1
e 13 15 3
e 13 16 3
e 14 17 0
e 15 18 0
e 15 19 3
e 16 20 3
e 17 21 3
e 17 22 3
e 18 23 1
e 18 24 1
e 18 25 0
e 19 26 3
e 20 26 3
e 21 27 3
e 22 28 3
e 26 29 0
e 27 30 0
e 27 31 3
e 28 31 3
e 29 32 1
e 30 33 1
e 30 34 1
e 30 35 0
e 31 36 0
e 32 37 0
e 36 38 1
e 37 39 3
e 37 40 3
e 38 41 0
e 39 42 3
e 40 43 3
e 41 42 3
e 41 43 3
e 42 44 0
e 44 45 1
e 44 46 1
e 44 47 0
