t # 10
v 0 1
v 1 2
v 2 2
v 3 2
v 4 2
v 5 2
v 6 3
v 7 2
v 8 2
v 9 2
v 10 2
v 11 3
v 12 0
v 13 2
v 14 2
v 15 1
v 16 1
v 17 1
v 18 3
v 19 2
v 20 2
v 21 2
v 22 2
v 23 2
v 24 3
v 25 1
v 26 2
v 27 2
v 28 2
v 29 2
v 30 2
v 31 2
v 32 2
v 33 2
v 34 2
v 35 2
v 36 0
v 37 2
v 38 2
v 39 1
v 40 1
v 41 1
v 42 2
v 43 2
v 44 1
v 45 2
v 46 0
v 47 1
v 48 1
v 49 1
e 0 1 0
e 1 2 3
e 1 3 3
e 2 4 3
e 2 5 3
e 3 6 0
e 3 7 3
e 4 8 3
e 4 9 3
e 5 10 3
e 6 11 1
e 7 12 0
e 7 8 3
e 9 13 3
e 10 13 3
e 11 14 0
e 12 15 1
e 12 16 1
e 12 17 0
e 13 18 0
e 14 19 3
e 14 20 3
e 18 21 0
e 19 22 3
e 20 23 3
e 21 24 0
e 21 25 1
e 22 26 3
e 22 27 3
e 23 26 3
e 24 28 0
e 26 29 3
e 27 30 3
e 28 31 3
e 28 32 3
e 29 33 3
e 30 33 3
e 31 34 3
e 32 35 3
e 33 36 0
e 34 37 3
e 34 38 3
e 35 37 3
e 36 39 1
e 36 40 1
e 36 41 0
e 37 42 3
e 38 43 3
e 42 44 0
e 42 45 3
e 43 46 0
e 43 45 3
e 46 47 1
e 46 48 1
e 46 49 0
