t # 15
v 0 3
v 1 3
v 2 2
v 3 2
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 1
v 11 2
v 12 0
v 13 2
v 14 1
v 15 2
v 16 2
v 17 2
v 18 2
v 19 2
v 20 1
v 21 1
v 22 1
v 23 2
v 24 2
v 25 3
v 26 2
v 27 2
v 28 2
v 29 2
v 30 3
v 31 0
v 32 2
v 33 2
v 34 1
v 35 1
v 36 1
v 37 3
v 38 2
v 39 2
v 40 2
v 41 4
v 42 2
v 43 2
v 44 1
v 45 2
v 46 2
v 47 4
v 48 2
v 49 2
v 50 0
v 51 2
v 52 2
v 53 1
v 54 1
v 55 1
v 56 2
v 57 3
e 0 1 1
e 0 2 0
e 1 3 0
e 2 4 3
e 2 5 3
e 3 6 3
e 3 7 3
e 4 8 3
e 4 9 3
e 5 10 0
e 5 11 3
e 6 12 0
e 6 13 3
e 7 14 0
e 7 15 3
e 8 16 3
e 8 17 3
e 9 18 3
e 10 19 0
e 11 16 3
e 12 20 1
e 12 21 1
e 12 22 0
e 13 23 3
e 15 24 3
e 15 23 3
e 16 25 0
e 17 26 3
e 18 26 3
e 19 27 0
e 23 28 3
e 24 29 3
e 25 30 1
e 26 31 0
e 28 32 3
e 29 32 3
e 30 33 0
e 31 34 1
e 31 35 1
e 31 36 0
e 32 37 0
e 33 38 3
e 33 39 3
e 37 40 0
e 38 41 0
e 38 42 3
e 39 43 3
e 40 44 1
e 40 45 0
e 42 46 3
e 43 47 0
e 43 46 3
e 45 48 3
e 45 49 3
e 46 50 0
e 48 51 3
e 49 52 3
e 50 53 1
e 50 54 1
e 50 55 0
e 51 56 3
e 52 56 3
e 56 57 0
