t # 16
v 0 1
v 1 2
v 2 2
v 3 2
v 4 2
v 5 2
v 6 3
v 7 2
v 8 2
v 9 2
v 10 2
v 11 3
v 12 0
v 13 2
v 14 2
v 15 1
v 16 1
v 17 1
v 18 3
v 19 2
v 20 2
v 21 2
v 22 1
v 23 2
v 24 2
v 25 3
v 26 1
v 27 2
v 28 2
v 29 2
v 30 2
v 31 2
v 32 2
v 33 2
v 34 2
v 35 2
v 36 2
v 37 2
v 38 1
v 39 2
v 40 0
v 41 3
v 42 1
v 43 1
v 44 1
v 45 3
v 46 2
v 47 2
v 48 2
v 49 2
v 50 2
v 51 2
v 52 2
v 53 0
v 54 1
v 55 1
v 56 1
e 0 1 0
e 1 2 3
e 1 3 3
e 2 4 3
e 2 5 3
e 3 6 0
e 3 7 3
e 4 8 3
e 4 9 3
e 5 10 3
e 6 11 1
e 7 12 0
e 7 8 3
e 9 13 3
e 10 13 3
e 11 14 0
e 12 15 1
e 12 16 1
e 12 17 0
e 13 18 0
e 14 19 3
e 14 20 3
e 18 21 0
e 19 22 0
e 19 23 3
e 20 24 3
e 21 25 0
e 21 26 1
e 22 27 0
e 23 28 3
e 24 28 3
e 25 29 0
e 29 30 3
e 29 31 3
e 30 32 3
e 31 33 3
e 32 34 3
e 32 35 3
e 33 34 3
e 34 36 3
e 35 37 3
e 36 38 0
e 36 39 3
e 37 40 0
e 37 39 3
e 39 41 0
e 40 42 1
e 40 43 1
e 40 44 0
e 41 45 1
e 45 46 0
e 46 47 3
e 46 48 3
e 47 49 0
e 47 50 3
e 48 51 3
e 50 52 3
e 51 52 3
e 52 53 0
e 53 54 1
e 53 55 1
e 53 56 0
