t # 18
v 0 0
v 1 1
v 2 1
v 3 1
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 0
v 14 2
v 15 3
v 16 1
v 17 1
v 18 1
v 19 3
v 20 2
v 21 2
v 22 2
v 23 2
v 24 2
v 25 2
v 26 2
v 27 3
v 28 2
v 29 1
v 30 2
v 31 2
v 32 2
v 33 2
v 34 2
v 35 2
v 36 3
v 37 3
v 38 2
v 39 2
v 40 2
v 41 0
v 42 2
v 43 1
v 44 2
v 45 1
v 46 1
v 47 1
v 48 2
v 49 2
v 50 2
v 51 2
v 52 2
v 53 3
v 54 2
v 55 1
v 56 2
v 57 2
v 58 2
v 59 2
v 60 2
v 61 2
v 62 3
e 0 1 1
e 0 2 1
e 0 3 0
e 0 4 0
e 4 5 3
e 4 6 3
e 5 7 3
e 5 8 3
e 6 9 3
e 7 10 3
e 7 11 3
e 8 12 3
e 9 13 0
e 9 10 3
e 11 14 3
e 12 15 0
e 12 14 3
e 13 16 1
e 13 17 1
e 13 18 0
e 15 19 1
e 19 20 0
e 20 21 3
e 20 22 3
e 21 23 0
e 21 24 3
e 22 25 3
e 24 26 3
e 25 26 3
e 26 27 0
e 27 28 0
e 28 29 1
e 28 30 0
e 30 31 3
e 30 32 3
e 31 33 3
e 32 34 3
e 33 35 3
e 34 35 3
e 35 36 0
e 36 37 1
e 37 38 0
e 38 39 3
e 38 40 3
e 39 41 0
e 39 42 3
e 40 43 0
e 40 44 3
e 41 45 1
e 41 46 1
e 41 47 0
e 42 48 3
e 44 49 3
e 44 48 3
e 48 50 3
e 49 51 3
e 50 52 3
e 51 52 3
e 52 53 0
e 53 54 0
e 54 55 1
e 54 56 0
e 56 57 3
e 56 58 3
e 57 59 3
e 58 60 3
e 59 61 3
e 60 61 3
e 61 62 0
