t # 2
v 0 0
v 1 1
v 2 1
v 3 1
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 3
v 14 3
v 15 2
v 16 3
v 17 2
v 18 2
v 19 2
v 20 2
v 21 2
v 22 2
v 23 2
v 24 2
v 25 2
v 26 2
v 27 2
v 28 2
v 29 3
v 30 3
v 31 2
v 32 2
v 33 2
v 34 1
v 35 2
v 36 2
v 37 2
v 38 2
v 39 0
v 40 2
v 41 2
v 42 1
v 43 1
v 44 1
v 45 2
e 0 1 1
e 0 2 1
e 0 3 0
e 0 4 0
e 4 5 3
e 4 6 3
e 5 7 3
e 5 8 3
e 6 9 3
e 7 10 3
e 7 11 3
e 8 12 3
e 9 13 0
e 9 10 3
e 10 14 0
e 11 15 3
e 12 15 3
e 13 16 1
e 16 17 0
e 17 18 3
e 17 19 3
e 18 20 3
e 19 21 3
e 20 22 3
e 21 22 3
e 22 23 3
e 23 24 3
e 23 25 3
e 24 26 3
e 25 27 3
e 26 28 3
e 27 28 3
e 28 29 0
e 29 30 1
e 30 31 0
e 31 32 3
e 31 33 3
e 32 34 0
e 32 35 3
e 33 36 3
e 35 37 3
e 35 38 3
e 36 39 0
e 36 37 3
e 37 40 3
e 38 41 3
e 39 42 1
e 39 43 1
e 39 44 0
e 40 45 3
e 41 45 3
