t # 22
v 0 1
v 1 2
v 2 2
v 3 2
v 4 2
v 5 2
v 6 3
v 7 2
v 8 2
v 9 2
v 10 2
v 11 3
v 12 0
v 13 2
v 14 2
v 15 1
v 16 1
v 17 1
v 18 3
v 19 2
v 20 2
v 21 2
v 22 2
v 23 2
v 24 2
v 25 3
v 26 1
v 27 2
v 28 2
v 29 2
v 30 2
v 31 2
v 32 2
v 33 2
v 34 2
v 35 2
v 36 2
v 37 1
v 38 2
v 39 0
v 40 3
v 41 1
v 42 1
v 43 1
v 44 3
v 45 2
v 46 2
v 47 2
v 48 2
v 49 2
v 50 2
v 51 2
v 52 2
v 53 2
v 54 2
v 55 0
v 56 1
v 57 1
v 58 1
e 0 1 0
e 1 2 3
e 1 3 3
e 2 4 3
e 2 5 3
e 3 6 0
e 3 7 3
e 4 8 3
e 4 9 3
e 5 10 3
e 6 11 1
e 7 12 0
e 7 8 3
e 9 13 3
e 10 13 3
e 11 14 0
e 12 15 1
e 12 16 1
e 12 17 0
e 13 18 0
e 14 19 3
e 14 20 3
e 18 21 0
e 19 22 0
e 19 23 3
e 20 24 3
e 21 25 0
e 21 26 1
e 23 27 3
e 24 27 3
e 25 28 0
e 28 29 3
e 28 30 3
e 29 31 3
e 30 32 3
e 31 33 3
e 31 34 3
e 32 33 3
e 33 35 3
e 34 36 3
e 35 37 0
e 35 38 3
e 36 39 0
e 36 38 3
e 38 40 0
e 39 41 1
e 39 42 1
e 39 43 0
e 40 44 1
e 44 45 0
e 45 46 3
e 45 47 3
e 46 48 3
e 47 49 3
e 48 50 3
e 48 51 3
e 49 50 3
e 50 52 3
e 51 53 3
e 52 54 3
e 53 54 3
e 54 55 0
e 55 56 1
e 55 57 1
e 55 58 0
