t # 4
v 0 0
v 1 1
v 2 1
v 3 1
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 0
v 14 3
v 15 1
v 16 2
v 17 1
v 18 1
v 19 1
v 20 3
v 21 3
v 22 2
v 23 2
v 24 2
v 25 1
v 26 2
v 27 2
v 28 2
v 29 2
v 30 2
v 31 2
v 32 2
v 33 2
v 34 2
v 35 1
v 36 2
v 37 2
v 38 3
v 39 3
v 40 2
v 41 2
v 42 2
v 43 1
v 44 2
v 45 2
v 46 2
v 47 2
v 48 2
v 49 3
v 50 2
v 51 0
v 52 2
v 53 0
v 54 1
v 55 1
v 56 1
v 57 1
v 58 1
v 59 1
e 0 1 1
e 0 2 1
e 0 3 0
e 0 4 0
e 4 5 3
e 4 6 3
e 5 7 3
e 5 8 3
e 6 9 3
e 7 10 3
e 7 11 3
e 8 12 3
e 9 13 0
e 9 10 3
e 10 14 0
e 11 15 0
e 11 16 3
e 12 16 3
e 13 17 1
e 13 18 1
e 13 19 0
e 16 20 0
e 20 21 1
e 21 22 0
e 22 23 3
e 22 24 3
e 23 25 0
e 23 26 3
e 24 27 3
e 25 28 0
e 26 29 3
e 27 29 3
e 29 30 3
e 30 31 3
e 30 32 3
e 31 33 3
e 32 34 3
e 33 35 0
e 33 36 3
e 34 36 3
e 35 37 0
e 36 38 0
e 38 39 1
e 39 40 0
e 40 41 3
e 40 42 3
e 41 43 0
e 41 44 3
e 42 45 3
e 44 46 3
e 44 47 3
e 45 46 3
e 46 48 3
e 47 49 0
e 47 50 3
e 48 51 0
e 48 52 3
e 50 53 0
e 50 52 3
e 51 54 1
e 51 55 1
e 51 56 0
e 53 57 1
e 53 58 1
e 53 59 0
