t # 6
v 0 2
v 1 2
v 2 2
v 3 2
v 4 2
v 5 2
v 6 2
v 7 2
v 8 0
v 9 2
v 10 2
v 11 0
v 12 2
v 13 2
v 14 1
v 15 1
v 16 1
v 17 2
v 18 1
v 19 1
v 20 1
v 21 2
v 22 3
v 23 3
v 24 1
v 25 1
v 26 3
v 27 2
v 28 2
v 29 2
v 30 2
v 31 2
v 32 0
v 33 2
v 34 1
v 35 1
v 36 1
v 37 2
v 38 2
v 39 2
v 40 2
v 41 2
v 42 0
v 43 2
v 44 2
v 45 1
v 46 1
v 47 1
v 48 2
v 49 3
v 50 1
v 51 1
e 0 1 1
e 0 2 0
e 1 3 0
e 2 4 3
e 2 5 3
e 3 6 3
e 3 7 3
e 4 8 0
e 4 9 3
e 5 10 3
e 6 11 0
e 6 12 3
e 7 13 3
e 8 14 1
e 8 15 1
e 8 16 0
e 9 17 3
e 10 17 3
e 11 18 1
e 11 19 1
e 11 20 0
e 12 21 3
e 13 21 3
e 17 22 0
e 21 23 0
e 22 24 1
e 22 25 0
e 23 26 1
e 26 27 0
e 27 28 3
e 27 29 3
e 28 30 3
e 29 31 3
e 30 32 0
e 30 33 3
e 31 33 3
e 32 34 1
e 32 35 1
e 32 36 0
e 33 37 0
e 37 38 1
e 38 39 0
e 39 40 3
e 39 41 3
e 40 42 0
e 40 43 3
e 41 44 3
e 42 45 1
e 42 46 1
e 42 47 0
e 43 48 3
e 44 48 3
e 48 49 0
e 49 50 1
e 49 51 0
