t # 24
v 0 2
v 1 3
v 2 1
v 3 2
v 4 2
v 5 2
v 6 2
v 7 2
v 8 2
v 9 2
v 10 2
v 11 2
v 12 2
v 13 2
v 14 2
v 15 3
v 16 2
v 17 3
v 18 1
v 19 2
v 20 2
v 21 3
v 22 3
v 23 2
v 24 2
v 25 2
v 26 2
v 27 2
v 28 2
v 29 2
v 30 2
v 31 3
v 32 3
v 33 2
v 34 2
e 0 1 0
e 0 2 1
e 0 3 0
e 1 4 0
e 3 5 3
e 3 6 3
e 4 7 3
e 4 8 3
e 5 9 3
e 6 10 3
e 7 11 3
e 8 12 3
e 9 13 0
e 9 14 3
e 10 15 0
e 10 14 3
e 11 16 3
e 12 16 3
e 13 17 0
e 13 18 1
e 16 19 0
e 17 20 0
e 19 21 1
e 19 22 0
e 20 23 3
e 20 24 3
e 21 25 0
e 22 26 0
e 23 27 3
e 24 28 3
e 25 26 0
e 27 29 3
e 28 29 3
e 29 30 0
e 30 31 1
e 30 32 0
e 31 33 0
e 32 34 0
e 33 34 0
