t # 346
v 0 2
v 1 2
v 2 2
v 3 1
v 4 2
v 5 3
v 6 2
v 7 2
v 8 2
v 9 2
v 10 1
v 11 3
v 12 1
v 13 2
v 14 1
v 15 5
v 16 1
v 17 1
v 18 1
v 19 2
v 20 1
v 21 2
v 22 1
v 23 2
v 24 1
v 25 2
v 26 1
v 27 2
v 28 2
v 29 2
v 30 2
v 31 2
v 32 2
v 33 2
v 34 2
v 35 2
e 0 1 0
e 0 4 0
e 1 2 0
e 2 3 0
e 2 5 0
e 3 4 0
e 4 13 0
e 5 6 3
e 5 9 3
e 6 7 3
e 7 8 3
e 7 27 0
e 8 10 1
e 8 11 3
e 9 12 1
e 9 11 3
e 13 14 0
e 14 15 0
e 15 16 1
e 15 17 0
e 15 18 0
e 17 19 0
e 18 23 0
e 19 20 0
e 20 21 0
e 21 22 1
e 21 32 0
e 23 24 0
e 24 25 0
e 25 26 1
e 25 28 0
e 28 29 0
e 28 30 0
e 28 31 0
e 32 33 0
e 32 34 0
e 32 35 0
